"PORTFOLIOS","ADS TYP","ACCOUNT NAME","CAMPAIGNS","ad_group_id","KEYWORD","DATE","MATCH TYP","IMPRSN","CLICKS","UNITS","CPC","SALES","SPEND"
"Chimney-HOB","PCA","BeyondNxt","PCA-Spotlight-Asteria-Arista","M4FUE3IXDGOD","best chimney for kitchen","07-2025","EXACT",331,7,0,"33",0,"232"
"Chimney-HOB","PCA","BeyondNxt","PCA-Spotlight-Cube","9W76JZTQH4AN","slant chimney","07-2025","EXACT",189,5,0,"42",0,"208"
"Chimney-HOB","PCA","BeyondNxt","PCA-Spotlight-Asteria-Arista","M4FUE3IXDGOD","pigeon chimney for kitchen","07-2025","EXACT",435,5,0,"91",0,"457"
"Chimney-HOB","PCA","BeyondNxt","PCA-Spotlight-Cube","9W76JZTQH4AN","kitchen chimney auto clean 90 cm","07-2025","EXACT",41,1,0,"45",0,"45"
"Chimney 60cm","PCA","BeyondNxt","FK-Asteria-60cm-PM-PCA-Video-GS","QVTO1N7L4WKG","kitchen chimney auto clean 60 cm","07-2025","EXACT",1,0,0,"0",0,"0"
"Chimney-HOB","PCA","BeyondNxt","PCA-Spotlight-Asteria-Arista","M4FUE3IXDGOD","chimney 75cm","07-2025","EXACT",52,0,0,"0",0,"36"
"Chimney-HOB","PCA","BeyondNxt","PCA-Spotlight-Hob 4 Burner","0TH3EIV3QKEY","gas stoves automatic hob","07-2025","EXACT",69,5,0,"4",0,"21"
"Chimney-HOB","PCA","BeyondNxt","PCA-Spotlight-Hob 4 Burner","0TH3EIV3QKEY","hob top 3 burner","07-2025","EXACT",13,1,0,"4",0,"4"
"Chimney-HOB","PCA","BeyondNxt","PCA-Spotlight-Asteria-Arista","M4FUE3IXDGOD","chimney for kitchen elica","07-2025","EXACT",175,2,0,"92",0,"184"
"Chimney-HOB","PCA","BeyondNxt","PCA-Spotlight-Cube","9W76JZTQH4AN","kitchen chimney auto clean kutchina 90","07-2025","EXACT",124,1,0,"167",0,"167"
"Chimney-HOB","PCA","BeyondNxt","PCA-Spotlight-Asteria-Arista","M4FUE3IXDGOD","chimney for kitchen 60cm","07-2025","EXACT",329,4,0,"58",0,"230"
"Chimney-HOB","PCA","BeyondNxt","PCA-Spotlight-Hob 4 Burner","0TH3EIV3QKEY","best gas stove 4 burner","07-2025","EXACT",9,0,0,"0",0,"14"
"Chimney-HOB","PCA","BeyondNxt","PCA-Spotlight-Cube","9W76JZTQH4AN","small chimney for kitchen","07-2025","EXACT",177,6,0,"32",0,"195"
"Chimney-HOB","PCA","BeyondNxt","PCA-Spotlight-Asteria-Arista","M4FUE3IXDGOD","kutchina kitchen chimney 90","07-2025","EXACT",379,4,0,"99",0,"398"
"Chimney-HOB","PCA","BeyondNxt","PCA-Spotlight-Hob 4 Burner","0TH3EIV3QKEY","automatic hob gas stove","07-2025","EXACT",15,0,0,"0",0,"5"
"Chimney-HOB","PCA","BeyondNxt","PCA-Spotlight-Hob 4 Burner","0TH3EIV3QKEY","gas stove with timer","07-2025","EXACT",13,3,0,"1",0,"4"
"Chimney-HOB","PCA","BeyondNxt","PCA-Spotlight-Hob 4 Burner","0TH3EIV3QKEY","kitchen hob","07-2025","EXACT",17,0,0,"0",0,"26"
"Chimney-HOB","PCA","BeyondNxt","PCA-Spotlight-Asteria-Arista","M4FUE3IXDGOD","kitchen chimney 75 cm","07-2025","EXACT",16,0,0,"0",0,"11"
