account_name,target_acos
awenest,70
BeyondNxt,30
Stalwart nutritions pvt ltd,100
JAYCEE,100
BeyondAppliances,100
BaaniAudio,100
Maysixty,100
2BX,100
The Basics Woman,100
StreamBox,100
Teestra,100
Supertron Electronics Pvt Ltd,100
TheHealthspanCo,100
GreenfieldBiotech,100
TURIL,100
JOLGER,100
Vansh Co,100
GOURAVLightingLIVES,100
CiplaHealth,100
ZOYCARE,100
GipfelClimbingEquipmen,100
URBN,100
NUTRINOSH BRANDS LLP,100
KridayKraft By Prince,100
Devika Fancy sarees,100
UrbanIndiajp,100
neemtoys,100
GUJJUJEWELLERS,100
VISHNU WEAVES,100
The Clean Label Co,100
BINNI'S WARDROBE LLP,100
DDSOL INDIA PRIVATE LIMITED,100
DogOBow,100
BLACKSMITHH,100
BeyondNxt Vendor,100
Detoxie,100
BeyondNxt Vendor 2,100
awenest Vendor,100
Kaynes Vendor,100
NEOPlace,100
SSO ORGANICS PRIVATE LIMITED,100
Curefoods,100
BESTTECHNOLOGIESS,100
